flown,prob
98,0.00016070689241899283
99,0.0001552592011505524
100,9.26107515634874e-05
101,0.00014436381861367153
102,0.0001552592011505524
103,0.00013074459044257043
104,0.0001852215031269748
105,0.00010350613410036827
106,0.00011712536227146935
107,0.00013074459044257043
108,0.00010350613410036827
109,0.00011984920790568957
110,0.00011984920790568957
111,0.00011167767100302892
112,7.081998648972566e-05
113,0.00012529689917413
114,0.00010622997973458848
115,0.00012802074480835023
116,0.00011440151663724914
117,9.805844283192783e-05
118,0.00010078228846614805
119,0.00010350613410036827
120,7.626767775816608e-05
121,5.1753067050184135e-05
122,9.53345971977076e-05
123,0.0001089538253688087
124,8.988690592926718e-05
125,0.00010078228846614805
126,6.809614085550543e-05
127,0.00012529689917413
128,7.89915233923863e-05
129,5.1753067050184135e-05
130,8.443921466082675e-05
131,8.988690592926718e-05
132,8.988690592926718e-05
133,7.354383212394588e-05
134,7.081998648972566e-05
135,7.89915233923863e-05
136,8.716306029504696e-05
137,7.081998648972566e-05
138,6.2648449587065e-05
139,7.626767775816608e-05
140,6.2648449587065e-05
141,6.537229522128521e-05
142,6.809614085550543e-05
143,5.9924603952844785e-05
144,7.626767775816608e-05
145,4.0857684513303263e-05
146,7.626767775816608e-05
147,7.354383212394588e-05
148,5.9924603952844785e-05
149,3.540999324486283e-05
150,6.809614085550543e-05
151,8.171536902660653e-05
152,4.902922141596391e-05
153,4.63053757817437e-05
154,8.171536902660653e-05
155,4.0857684513303263e-05
156,6.809614085550543e-05
157,3.540999324486283e-05
158,5.447691268440435e-05
159,4.0857684513303263e-05
160,4.63053757817437e-05
161,7.081998648972566e-05
162,6.537229522128521e-05
163,4.902922141596391e-05
164,5.720075831862457e-05
165,3.268614761064261e-05
166,5.447691268440435e-05
167,5.720075831862457e-05
168,5.9924603952844785e-05
169,4.0857684513303263e-05
170,3.268614761064261e-05
171,5.9924603952844785e-05
172,4.358153014752348e-05
173,4.358153014752348e-05
174,3.540999324486283e-05
175,3.813383887908304e-05
176,3.813383887908304e-05
177,4.358153014752348e-05
178,4.358153014752348e-05
179,4.902922141596391e-05
180,5.1753067050184135e-05
181,3.540999324486283e-05
182,3.540999324486283e-05
183,4.0857684513303263e-05
184,2.9962301976422392e-05
185,4.358153014752348e-05
186,4.63053757817437e-05
187,4.358153014752348e-05
188,5.720075831862457e-05
189,2.9962301976422392e-05
190,3.268614761064261e-05
191,2.7238456342202174e-05
192,3.540999324486283e-05
193,2.9962301976422392e-05
194,2.7238456342202174e-05
195,4.0857684513303263e-05
196,4.902922141596391e-05
197,5.1753067050184135e-05
198,3.813383887908304e-05
199,4.63053757817437e-05
200,4.63053757817437e-05
201,2.9962301976422392e-05
202,2.7238456342202174e-05
203,2.7238456342202174e-05
204,4.358153014752348e-05
205,2.9962301976422392e-05
206,1.3619228171101087e-05
207,3.268614761064261e-05
208,4.902922141596391e-05
209,3.268614761064261e-05
210,5.720075831862457e-05
211,2.9962301976422392e-05
212,2.179076507376174e-05
213,1.6343073805321303e-05
214,2.9962301976422392e-05
215,3.540999324486283e-05
216,3.540999324486283e-05
217,3.540999324486283e-05
218,2.179076507376174e-05
219,4.902922141596391e-05
220,4.358153014752348e-05
221,1.906691943954152e-05
222,2.9962301976422392e-05
223,2.179076507376174e-05
224,1.3619228171101087e-05
225,3.540999324486283e-05
226,2.4514610707981957e-05
227,1.6343073805321303e-05
228,1.6343073805321303e-05
229,1.3619228171101087e-05
230,2.9962301976422392e-05
231,3.813383887908304e-05
232,2.4514610707981957e-05
233,2.4514610707981957e-05
234,1.906691943954152e-05
235,2.179076507376174e-05
236,3.540999324486283e-05
237,2.9962301976422392e-05
238,1.3619228171101087e-05
239,1.3619228171101087e-05
240,3.268614761064261e-05
241,2.7238456342202174e-05
242,2.9962301976422392e-05
243,3.813383887908304e-05
244,1.906691943954152e-05
245,2.179076507376174e-05
246,1.906691943954152e-05
247,2.179076507376174e-05
248,1.906691943954152e-05
249,2.9962301976422392e-05
250,3.268614761064261e-05
251,1.3619228171101087e-05
252,2.179076507376174e-05
253,4.358153014752348e-05
254,4.63053757817437e-05
255,2.4514610707981957e-05
256,1.906691943954152e-05
257,2.179076507376174e-05
258,3.268614761064261e-05
259,2.179076507376174e-05
260,1.906691943954152e-05
261,2.7238456342202174e-05
262,2.4514610707981957e-05
263,2.7238456342202174e-05
264,2.4514610707981957e-05
265,1.089538253688087e-05
266,2.4514610707981957e-05
267,5.447691268440435e-06
268,2.7238456342202174e-05
