dg,cc_mean,cc_lower,cc_upper,n_samples
927.0,0.42815143856743665,0.41582010657923124,0.4404634719029066,207
928.0,0.42815143856743665,0.4162853178043607,0.44020984053495454,207
929.0,0.42815143856743665,0.4160386596342726,0.4404303439803425,207
931.0,0.42806238543774444,0.41597300563971923,0.44014494840941965,208
932.0,0.42806238543774444,0.41591162855280406,0.4400441818401125,208
933.0,0.42806238543774444,0.4160138324897553,0.4400797045023155,208
934.0,0.4277207521556648,0.4157190771380649,0.4400090504689682,206
935.0,0.42736477701752046,0.41530021404164047,0.4397356867874878,208
941.0,0.4288981072857546,0.41692776562942074,0.44117177601069135,206
949.0,0.4293295291812595,0.41713070239968875,0.44155093482807345,207
950.0,0.4284953670528767,0.41597737472946655,0.44083738390829835,207
952.0,0.4284953670528767,0.41628025216864245,0.4407617291301479,207
953.0,0.4282409516511477,0.4163161483797241,0.4405868020951959,206
959.0,0.42875200915365097,0.4165069294512006,0.4410597419826654,203
966.0,0.42751447795016095,0.4153092628131091,0.4397617175718204,207
968.0,0.42712398097710713,0.41484179856915976,0.43975435559844817,202
971.0,0.4279011632547528,0.4156274051756919,0.4403949418754049,204
973.0,0.4279011632547528,0.4154478573356193,0.4403279247602778,204
978.0,0.4265502993069581,0.41416262009015603,0.43896244382114447,206
979.0,0.4271632050913346,0.4150662457527817,0.4395999037324988,206
981.0,0.4265372837518163,0.4142639568835284,0.4391096314277711,206
983.0,0.42790259538679026,0.4155464098356022,0.44029612574878335,204
984.0,0.4271961516720963,0.41508104491820985,0.4393578494594514,206
985.0,0.42679306269523887,0.41479060603409673,0.4389814518421098,207
986.0,0.4266757452588693,0.41443805685900525,0.43857693061681746,209
988.0,0.4267361132227112,0.41469798620702697,0.4388318025575034,209
990.0,0.42826224070188346,0.4161363992183312,0.44046990350619275,208
991.0,0.42826224070188346,0.4161784153587958,0.4403738460603135,208
992.0,0.4281881684949156,0.4158005082065414,0.44052769682135073,207
994.0,0.42842562703768955,0.4160354687263918,0.44084842339399666,206
1002.0,0.4264581883771209,0.4142830884110991,0.4384192810815852,209
1006.0,0.4237625439305625,0.4118216893294117,0.4354686782744248,207
1013.0,0.4228085541796225,0.41097728912167525,0.43481545034728925,203
1016.0,0.422765483501816,0.41079037952773506,0.4348663713075358,202
1017.0,0.422765483501816,0.41068000858185444,0.43495325773941534,202
1022.0,0.4218599697476446,0.41015980876148556,0.43373681067001246,206
1024.0,0.4199946986167225,0.4080628633053371,0.43194100432013643,205
1035.0,0.41599821138902193,0.4044419575481882,0.42796088911351987,199
1036.0,0.4156187555834851,0.40381210589972916,0.42783551981715506,198
1038.0,0.4156928063293089,0.4042036111335917,0.42784730844467195,199
1039.0,0.4156928063293089,0.40377935000134735,0.42767564259997803,199
1041.0,0.4161330775736606,0.4042537622140446,0.4283158418847152,198
1043.0,0.41707251570944515,0.4051688657437473,0.42935011549097246,197
1045.0,0.41707754760326243,0.40510143783541713,0.4297298611158404,198
1047.0,0.4175838781813836,0.40533909011077957,0.4298057313410005,197
1048.0,0.41753246653386833,0.4050636423474384,0.42992700652971355,196
1052.0,0.4165207634061228,0.40426345877673264,0.4288453119767652,195
1059.0,0.416002954403477,0.40360669546018657,0.428415302759963,190
1062.0,0.41608036970176937,0.4041591465096426,0.4283640826253977,189
1063.0,0.41608036970176937,0.40395764520443395,0.42863686577326926,189
1068.0,0.418110464987359,0.4060217730040601,0.4306692568061409,191
1071.0,0.4180085780523963,0.4060177209155032,0.43046334606002057,190
1077.0,0.4163572200923957,0.40440686416143096,0.42858495616243497,189
1078.0,0.41585567454502625,0.40351665468671133,0.42827246052410933,188
1080.0,0.4154466303253514,0.4034288380567894,0.42771520881879926,190
1085.0,0.41552854190846905,0.4032715784839669,0.42770293855675107,188
1086.0,0.41575568726592216,0.4039240478559652,0.42794174742217195,191
1087.0,0.41568292999032597,0.40375721778954454,0.4275777828282451,193
1088.0,0.41537301505513796,0.403811361027386,0.4275337126369454,193
1089.0,0.41537301505513796,0.40326776433462663,0.42762869710083035,193
1093.0,0.4167348909032292,0.4048485246250158,0.42866360285640437,194
1095.0,0.41567456301512223,0.4036547859663835,0.4277111322852511,193
1097.0,0.41465217860701237,0.40267379694451877,0.4266138835606902,191
