year,x1_mean,x1_lower,x1_upper,x2_mean,x2_lower,x2_upper,x_mean,x_lower,x_upper,y1_mean,y1_lower,y1_upper,y2_mean,y2_lower,y2_upper,y_mean,y_lower,y_upper,nsamples
2000,-2.1564168877640264,-2.675463472540283,-1.6373703029877698,-2.496030741689558,-3.015056561645099,-1.9770049217340169,-2.3262238147267924,-2.6932386094698075,-1.9592090199837773,38.84971562455632,38.73939135710199,38.96003989201065,38.51253679239071,38.40090613842937,38.624167446352054,38.681126208473515,38.602648355518,38.75960406142903,97197
2001,-1.6445690993894813,-2.142826687949587,-1.1463115108293755,-2.669926915551174,-3.1692695796231876,-2.17058425147916,-2.157248007470328,-2.5099599527340963,-1.8045360622065596,38.66939936805582,38.56251062908083,38.77628810703081,38.31181793836032,38.20428051955741,38.419355357163234,38.49060865320808,38.41479337226572,38.566423934150436,105484
2002,-0.9509703542967728,-1.4322594913625017,-0.4696812172310438,-2.244568625384819,-2.7286003063227136,-1.7605369444469248,-1.5977694898407957,-1.939073670064369,-1.2564653096172225,38.45052033661712,38.34681399484838,38.55422667838585,38.049078974316124,37.944931547717026,38.15322640091522,38.249799655466624,38.17630745432021,38.32329185661304,113690
2003,-0.5074320911549859,-0.9710972709828105,-0.04376691132716126,-1.584261760418522,-2.0512447005131222,-1.1172788203239217,-1.0458469257867553,-1.3748896671841504,-0.7168041843893602,38.271631811357125,38.17181529405005,38.3714483286642,37.82151402779353,37.72088243028617,37.9221456253009,38.046572919575325,37.97569766447466,38.11744817467599,123482
2004,0.135749980764277,-0.31355550179589176,0.5850554633244457,-0.19804667865743794,-0.6514679019688294,0.2553745446539536,-0.031148348946579682,-0.35031438848395097,0.2880176905907916,38.091196190494216,37.99410123853215,38.18829114245628,37.654727654453744,37.55680301581515,37.75265229309234,37.87296192247399,37.804006437346736,37.941917407601245,132046
2005,1.8464352801428703,1.3995001694970233,2.2933703907887173,2.017281299157458,1.5659896088836114,2.468572989431305,1.9318582896501655,1.614283259818028,2.249433319482303,37.92752606369814,37.83162689024088,38.0234252371554,37.48366624969433,37.38648039084507,37.58085210854359,37.705596156696224,37.63732363880156,37.77386867459089,134949
2006,3.425120175578893,2.986828498622308,3.863411852535478,4.039316875852367,3.597263561185754,4.48137019051898,3.73221852571563,3.42096464987145,4.04347240155981,37.698745232308234,37.603821137815956,37.79366932680051,37.25490593612326,37.15793408864422,37.3518777836023,37.47682558421575,37.4089712831678,37.544679885263704,140051
2007,4.074153218733775,3.683671520962753,4.464634916504797,4.970239624537162,4.5780283695786625,5.362450879495661,4.522196421635468,4.245468023973629,4.798924819297307,37.452866461886046,37.36713462940963,37.538598294362465,36.89311590208642,36.80440042647092,36.98183137770192,37.17299118198623,37.111298766961205,37.23468359701125,175277
2008,3.794721970802584,3.4455818371506215,4.143862104454547,4.300116159860712,3.9498262735095375,4.650406046211887,4.047419065331646,3.800131730807681,4.294706399855612,37.235341408329724,37.1572467579191,37.31343605874035,36.63531739162965,36.55407898168942,36.716555801569875,36.93532939997968,36.87897860698509,36.991680192974265,216526
2009,4.014172792829832,3.696099041444122,4.3322465442155424,4.2240544572614285,3.9051915313925725,4.542917383130284,4.119113625045629,3.8939221498861447,4.344305100205113,36.9431143210052,36.871108426961754,37.01512021504864,36.39511175488482,36.320495124847774,36.46972838492187,36.669113037944996,36.61726058684383,36.720965489046165,260245
