cid1,cid2,flown_top,flown_all,top_ratio
6,5,411,645,0.6372093023255814
6,6,25192,83688,0.3010228467641717
6,7,215,382,0.56282722513089
6,8,682,1279,0.5332290852228303
6,9,1157,2073,0.5581283164495899
6,10,1377,2092,0.6582217973231358
6,11,51,84,0.6071428571428571
6,12,612,1976,0.3097165991902834
6,13,276,646,0.42724458204334365
7,0,4696,6791,0.6915034604623767
7,1,3310,4943,0.6696338256119765
7,2,2376,3494,0.680022896393818
7,3,1029,1651,0.6232586311326469
7,4,1852,3890,0.47609254498714654
7,5,564,837,0.6738351254480287
7,6,154,284,0.5422535211267606
7,7,24083,77700,0.30994851994851996
7,8,113,197,0.5736040609137056
7,9,189,346,0.546242774566474
7,10,939,1399,0.6711937097927091
7,11,14,28,0.5
7,12,13,38,0.34210526315789475
7,13,7,14,0.5
8,0,8747,12950,0.6754440154440154
8,1,3436,5534,0.620889049512107
8,2,3019,6301,0.47913029677828917
8,3,787,1343,0.5860014892032762
8,4,288,563,0.5115452930728241
8,5,252,383,0.6579634464751958
8,6,547,1161,0.47114556416882
8,7,164,249,0.6586345381526104
8,8,84092,159803,0.5262229119603512
8,9,4106,7215,0.5690921690921691
8,10,980,1507,0.6502986065029861
8,11,74,149,0.4966442953020134
8,12,883,2301,0.38374619730551934
8,13,374,786,0.4758269720101781
9,0,32586,47458,0.686628176492899
9,1,8773,12636,0.6942861665083887
9,2,11825,17975,0.6578581363004172
9,3,1137,1964,0.5789205702647657
9,4,407,665,0.6120300751879699
9,5,397,591,0.6717428087986463
9,6,779,1495,0.5210702341137123
9,7,169,284,0.5950704225352113
9,8,2971,5004,0.5937250199840128
9,9,211252,485268,0.43533058021546855
9,10,3398,5101,0.6661438933542443
9,11,55,98,0.5612244897959183
9,12,882,1842,0.4788273615635179
9,13,1055,2167,0.48684817720350715
10,0,14846,22314,0.6653222192345613
10,1,6096,9396,0.648786717752235
10,2,7706,12247,0.6292153180370703
10,3,2061,3201,0.6438612933458294
10,4,1007,1816,0.5545154185022027
10,5,650,1047,0.620821394460363
10,6,995,1523,0.6533158240315168
10,7,710,1110,0.6396396396396397
10,8,890,1378,0.6458635703918723
10,9,3775,5823,0.6482912588013051
10,10,25214,65996,0.38205345778532035
10,11,188,442,0.4253393665158371
10,12,346,723,0.4785615491009682
10,13,149,263,0.5665399239543726
11,0,1515,2260,0.6703539823008849
11,1,1026,1673,0.6132695756126718
11,2,551,1326,0.4155354449472097
11,3,96,177,0.5423728813559322
11,4,50,101,0.49504950495049505
11,5,85,136,0.625
11,6,20,46,0.43478260869565216
11,7,18,44,0.4090909090909091
11,8,45,81,0.5555555555555556
11,9,63,95,0.6631578947368421
11,10,156,300,0.52
11,11,3303,21217,0.1556770514210303
11,12,16,42,0.38095238095238093
11,13,13,22,0.5909090909090909
12,0,6025,9168,0.6571771378708552
12,1,820,1883,0.4354753053637812
12,2,1052,2646,0.3975812547241119
12,3,146,461,0.31670281995661603
12,4,64,145,0.4413793103448276
12,5,55,91,0.6043956043956044
12,6,336,1119,0.3002680965147453
12,7,19,42,0.4523809523809524
